Royal Infirmary,Craigmillar Castle Road_1,1
Craigmillar Castle Road_1,Kingston Avenue,1
Kingston Avenue,Walter Scott Avenue,1
Walter Scott Avenue,Craigmillar Cemetery,1
Craigmillar Cemetery,Bridgend Cottages,1
Bridgend Cottages,Cameron Toll,1
Cameron Toll,Cameron Toll Centre,1
Cameron Toll Centre,Gordon Terrace_1,1
Gordon Terrace_1,Rankin Drive,1
Rankin Drive,Lussielaw Road,1
Lussielaw Road,Savile Place,1
Savile Place,Langton Road,1
Langton Road,Watertoun Road,1
Watertoun Road,Blackford Avenue,1
Blackford Avenue,South Oswald Road,1
South Oswald Road,St Thomas Road,1
St Thomas Road,Dalrymple Crescent,1
Dalrymple Crescent,Dick Place,1
Dick Place,Lauder Road,1
Lauder Road,Grange Cemetery,1
Grange Cemetery,Beaufort Road,1
Beaufort Road,Thirlestane Road,1
Thirlestane Road,Spottiswoode Road,1
Spottiswoode Road,Warrender Park Road,1
Warrender Park Road,Warrneder Park Terrace,1
Warrneder Park Terrace,Leven Terrace,1
Leven Terrace,Brougham Street,1
Brougham Street,Fountainbridge,1
Fountainbridge,Usher Hall,1
Usher Hall,Lothian Road (foot),1
Lothian Road (foot),Princes Street (west),1
Princes Street (west),Frederick Street,1
Frederick Street,Hill Street,1
Hill Street,Howe Street,1
Howe Street,Royal Circus,1
Royal Circus,Kerr Street,1
Kerr Street,Raeburn Place,1
Raeburn Place,Dean Park Street,1
Dean Park Street,Learmonth Grove,1
Learmonth Grove,Flora Stevenson School,1
Flora Stevenson School,Comely Bank Cemetery,1
Comely Bank Cemetery,Western General,1
Western General,West Woods,1
West Woods,North Werber Park,1
North Werber Park,Crewe Toll (south),1
Crewe Toll (south),Telford Grove,1
Telford Grove,Telford Place,1
Telford Place,Telford Gardens,1
Telford Gardens,Teford Drive,1
Teford Drive,Groathill Road South,1
Groathill Road South,Wester Drylaw Row,1
Wester Drylaw Row,Drylaw School,1
Drylaw School,Drylaw Parish Church,1
Drylaw Parish Church,Craigroyston Health Centre,1
Craigroyston Health Centre,Muirhouse Avenue,1
Muirhouse Avenue,Muirhouse Hub,1
Muirhouse Hub,Craigroyston High School,1
Craigroyston High School,Pennywell Cottages,1
Pennywell Cottages,Waterfront Gait,1
Waterfront Gait,"Edinburgh College, Granton",1
"Edinburgh College, Granton",Granton Mains East,1
Granton Mains East,Waterfront Broadway,1
Waterfront Broadway,West Granton,1
Clovenstone Drive,Clovenstone Park,1
Clovenstone Park,Clovenstone Gardens,1
Clovenstone Gardens,Clovenstone Road,1
Clovenstone Road,Wester Hailes Park,1
Wester Hailes Park,Hailesland Place,1
Hailesland Place,Murrayburn Park,1
Murrayburn Park,Westside Plaza,1
Westside Plaza,Calder Drive,1
Calder Drive,"Napier University, Sighthill",1
"Napier University, Sighthill",Sighthill Green,1
Sighthill Green,Broomhouse Road,1
Broomhouse Road,Sighthill Post Office,1
Sighthill Post Office,Saughton Mains,1
Saughton Mains,Saughton Mains Avenue,1
Saughton Mains Avenue,HMP Edinburgh,1
HMP Edinburgh,Stenhouse Mill Lane,1
Stenhouse Mill Lane,Chesser Avenue,1
Chesser Avenue,Saughton Park,1
Saughton Park,Balgreen Road_1,1
Balgreen Road_1,Gorgie Park Road,1
Gorgie Park Road,Stewart Terrace,1
Stewart Terrace,Tynecastle,1
Tynecastle,Gorgie City Farm,1
Gorgie City Farm,Murieston Crescent,1
Murieston Crescent,Dalry Primary School,1
Dalry Primary School,Caladonian Village,1
Caladonian Village,Haymarket Station,1
Haymarket Station,W Maitland Street,1
W Maitland Street,Shandwick Place,1
Shandwick Place,Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),North Bridge,1
North Bridge,South Bridge,1
South Bridge,Surgeons' Hall,1
Surgeons' Hall,St Patrick Square,1
St Patrick Square,Bernard Terrace,1
Bernard Terrace,Newington Road,1
Newington Road,Salisbury Place,1
Salisbury Place,Minto Street,1
Minto Street,Mayfield Gardens,1
Mayfield Gardens,East Savile Road,1
East Savile Road,Suffolk Road,1
Suffolk Road,Lygon Road,1
Lygon Road,Lady Road,1
Lady Road,Nether Liberton Lane,1
Nether Liberton Lane,Orrok Park,1
Orrok Park,Glenallan Drive,1
Glenallan Drive,Glenvarloch Crescent,1
Glenvarloch Crescent,Claverhouse Drive,1
Claverhouse Drive,Liberton High School,1
Liberton High School,Moredunvale Road,1
Moredunvale Road,Moredun Park Road,1
Moredun Park Road,Guardwell Glen,1
Guardwell Glen,Gilmerton Primary School,1
Gilmerton Primary School,Gilmerton Crossroads,1
Gilmerton Crossroads,Drum Street,1
Drum Street,Drum Cottages,1
Drum Cottages,Gilmerton Station Road,1
Gilmerton Station Road,Gilmerton Junction,1
Gilmerton Junction,Dobbies Garden Centre,1
Dobbies Garden Centre,Melville Castle,1
Melville Castle,Elginhaugh Bridge,1
Elginhaugh Bridge,Eskbank Court,1
Eskbank Court,Glenesk Crescent,1
Glenesk Crescent,Croft Street,1
Croft Street,Buccleuch Street,1
Buccleuch Street,James Lean Avenue,1
James Lean Avenue,Bruce Gardens,1
Bruce Gardens,Primrose Terrace,1
Primrose Terrace,Hepburn Drive,1
Hepburn Drive,Easthouses Road,1
Easthouses Road,Easthouses Way,1
Easthouses Way,Little Acre,1
Little Acre,Hawthorn Crescent,1
Hawthorn Crescent,Hawthorn Centre,1
Hawthorn Centre,Mayfield Place,1
Mayfield Place,Elm Place,1
Elm Place,Buckie Road,1
Buckie Road,Oak Crescent,1
Oak Crescent,Finlay Place,1
Finlay Place,Larch Crescent,1
Larch Crescent,Hughes Crescent,1
Hughes Crescent,The Kilns,1
The Kilns,Westhouses Avenue,1
Westhouses Avenue,Westhouses Drive,1
Westhouses Drive,Mayfield Cook Crescent,1
East Craigs Centre,North Bughtlin Neuk,1
North Bughtlin Neuk,Bughtlin Drive,1
Bughtlin Drive,Burnside,1
Burnside,Almond Green,1
Almond Green,Craigs Road,1
Craigs Road,North Gyle Terrace,1
North Gyle Terrace,Maybury,1
Maybury,Dechmont Road,1
Dechmont Road,North Gyle Road,1
North Gyle Road,Craigs Avenue,1
Craigs Avenue,Drum Brae South,1
Drum Brae South,St Ninian's Road,1
St Ninian's Road,Glebe Road,1
Glebe Road,Station Road_3,1
Station Road_3,Belgrave Road,1
Belgrave Road,Edinburgh Zoo,1
Edinburgh Zoo,Pinkhill,1
Pinkhill,Balgreen Road_2,1
Balgreen Road_2,Belmont Crescent,1
Belmont Crescent,Western Corner,1
Western Corner,Murrayfield Road,1
Murrayfield Road,Murrayfield,1
Murrayfield,Roseburn Gardens,1
Roseburn Gardens,Wester Coates,1
Wester Coates,Magdala Crescent,1
Magdala Crescent,Haymarket Station,1
Haymarket Station,W Maitland Street,1
W Maitland Street,Shandwick Place,1
Shandwick Place,Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),North Bridge,1
North Bridge,South Bridge,1
South Bridge,Surgeons' Hall,1
Surgeons' Hall,St Patrick Square,1
St Patrick Square,Bernard Terrace,1
Bernard Terrace,Newington Road,1
Newington Road,Salisbury Place,1
Salisbury Place,Minto Street,1
Minto Street,Mayfield Gardens,1
Mayfield Gardens,East Savile Road,1
East Savile Road,Suffolk Road,1
Suffolk Road,Lygon Road,1
Lygon Road,Lady Road,1
Lady Road,Gordon Terrace_1,1
Gordon Terrace_1,Mossgiel Walk,1
Mossgiel Walk,Kirk Park,1
Kirk Park,Kirkgate,1
Kirkgate,Yewlands Gardens,1
Yewlands Gardens,Malbet Park,1
Malbet Park,Liberton Hospital,1
Liberton Hospital,Ellen's Glen Road,1
Ellen's Glen Road,Gracemount High School,1
Gracemount High School,Gilmerton Dykes Street,1
Gilmerton Dykes Street,The Murrays,1
The Murrays,Gilmerton Dykes Road,1
Gilmerton Dykes Road,West Edge Farm,1
West Edge Farm,Wester Melville,1
Wester Melville,Wadingburn,1
Wadingburn,Laird and Dog,1
Laird and Dog,Elm Row (Lasswade),1
Elm Row (Lasswade),Broomieknowe Gardens,1
Broomieknowe Gardens,Rockville Terrace,1
Rockville Terrace,Park Road_3,1
Park Road_3,Bonnyrigg Toll,1
Bonnyrigg Toll,Waverley Terrace,1
Waverley Terrace,Wolsey Avenue,1
Wolsey Avenue,Baird's Way,1
Baird's Way,Brixwold Bank,1
Brixwold Bank,Burnbrae Road,1
Burnbrae Road,Sawmill Terrace,1
Sawmill Terrace,Burnbrae Walk,1
Burnbrae Walk,Burnbrae Primary,1
Burnbrae Primary,Auld Coal Bank,1
Auld Coal Bank,Bonnyrigg Hopefield,1
Clermiston Crescent,Drum Brae Hub,1
Drum Brae Hub,Drum Brae Drive,1
Drum Brae Drive,Drum Brae North_1,1
Drum Brae North_1,Duart Crescent,1
Duart Crescent,Drum Brae Park,1
Drum Brae Park,Drum Brae Gardens,1
Drum Brae Gardens,Templeland Road,1
Templeland Road,Meadowplace Road,1
Meadowplace Road,Gylemuir Road,1
Gylemuir Road,Dunsmuir Court,1
Dunsmuir Court,Featherhall Avenue,1
Featherhall Avenue,Kirk Loan,1
Kirk Loan,Castle Avenue,1
Castle Avenue,Broomhall Avenue,1
Broomhall Avenue,Saughton Tram stop,1
Saughton Tram stop,Saughton Road North,1
Saughton Road North,Saughton Mains Street,1
Saughton Mains Street,Stenhouse Grove,1
Stenhouse Grove,Stenhouse Cross,1
Stenhouse Cross,Whitson Grove,1
Whitson Grove,Whitson Crescent,1
Whitson Crescent,Balgreen Primary School,1
Balgreen Primary School,Stevenson Grove,1
Stevenson Grove,Westfield Avenue,1
Westfield Avenue,Westfield Road,1
Westfield Road,Stewart Terrace,1
Stewart Terrace,Tynecastle,1
Tynecastle,Gorgie City Farm,1
Gorgie City Farm,Henderson Terrace,1
Henderson Terrace,Dundee Terrace,1
Dundee Terrace,Fountain Park,1
Fountain Park,Gilmore Park,1
Gilmore Park,Grove Street,1
Grove Street,Port Hamilton,1
Port Hamilton,Semple Street,1
Semple Street,Usher Hall,1
Usher Hall,Lothian Road (foot),1
Lothian Road (foot),Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Waverley Steps,1
Waverley Steps,Leith Street,1
Leith Street,Leopold Place,1
Leopold Place,Brunswick Street,1
Brunswick Street,Wellington Street,1
Wellington Street,Montgomery Street,1
Montgomery Street,Brunswick Road,1
Brunswick Road,Albert Street,1
Albert Street,Dalmeny Street,1
Dalmeny Street,St Clair Avenue,1
St Clair Avenue,Academy Park,1
Academy Park,Duke Place,1
Duke Place,Elbe Street,1
Elbe Street,Links Gardens,1
Torphin,Torphin Bank,1
Torphin Bank,Woodfield Avenue,1
Woodfield Avenue,Fernielaw Avenue,1
Fernielaw Avenue,West Mill Road,1
West Mill Road,Barnshot Road,1
Barnshot Road,Rustic Cottages,1
Rustic Cottages,Merchiston Castle School,1
Merchiston Castle School,Redford Barracks,1
Redford Barracks,Elliot Road,1
Elliot Road,Elliot Place,1
Elliot Place,Craiglockhart Road,1
Craiglockhart Road,Craiglockhart Park,1
Craiglockhart Park,Craiglockhart Campus,1
Craiglockhart Campus,Glenlockhart Valley,1
Glenlockhart Valley,Craiglockhart Sports Centre,1
Craiglockhart Sports Centre,Perdrixknowe,1
Perdrixknowe,Meggetland Terrace,1
Meggetland Terrace,Polwarth Terrace_1,1
Polwarth Terrace_1,Ashley Terrace,1
Ashley Terrace,Polwarth Parish Church,1
Polwarth Parish Church,Polwarth Park,1
Polwarth Park,Polwarth Crescent,1
Polwarth Crescent,Merchiston Park,1
Merchiston Park,Viewforth,1
Viewforth,Leamington Terrace,1
Leamington Terrace,Lochrin Buildings,1
Lochrin Buildings,Home Street,1
Home Street,Fountainbridge,1
Fountainbridge,Usher Hall,1
Usher Hall,Lothian Road (foot),1
Lothian Road (foot),Princes Street (west),1
Princes Street (west),George Street (Assembly),1
George Street (Assembly),George Street (The Dome),1
George Street (The Dome),Dublin Street,1
Dublin Street,York Place,1
York Place,Elm Row,1
Elm Row,Shrubhill,1
Shrubhill,Pilrig Street,1
Pilrig Street,Balfour Street,1
Balfour Street,Stead's Place,1
Stead's Place,Foot of the Walk,1
Foot of the Walk,Kirkgate Centre,1
Kirkgate Centre,Junction Place,1
Junction Place,Cables Wynd,1
Cables Wynd,Mill Lane,1
Mill Lane,Prince Regent Street,1
Prince Regent Street,North Leith Sands,1
North Leith Sands,Hawthornvale,1
Hawthornvale,Annfield,1
Annfield,Sandpiper Road,1
Sandpiper Road,Windrush Drive,1
Windrush Drive,Western Harbour Park,1
Hermiston P&R,Calder View,1
Calder View,"Napier University, Sighthill",1
"Napier University, Sighthill",Sighthill Green,1
Sighthill Green,Fountainpark,1
Fountainpark,Morrison Crescent,1
Morrison Crescent,The Exchange,1
The Exchange,Lothian Road (foot),1
Lothian Road (foot),Princes Street (west),1
Princes Street (west),Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Waterloo Place,1
Marine Garage roundabout,Portobello Road,1
Portobello Road,Bryce Avenue,1
Bryce Avenue,Vandaleur Avenue,1
Vandaleur Avenue,Christiemillar Avenue,1
Christiemillar Avenue,Craigentinny Crossroads,1
Craigentinny Crossroads,Loganlea Road,1
Loganlea Road,Loaning Road,1
Loaning Road,Restalrig Drive,1
Restalrig Drive,Findlay Avenue,1
Findlay Avenue,Sleigh Drive,1
Sleigh Drive,Restalrig Gardens,1
Restalrig Gardens,Marionville Drive,1
Marionville Drive,Marionville Avenue,1
Marionville Avenue,Marionville Park,1
Marionville Park,Dalgety Avenue,1
Dalgety Avenue,Abbeyhill,1
Abbeyhill,Brunton Place,1
Brunton Place,Wellington Street,1
Wellington Street,Brunswick Street,1
Brunswick Street,Leopold Place,1
Leopold Place,Leith Street,1
Leith Street,Waverley Steps,1
Waverley Steps,Princes Street (west),1
Princes Street (west),Queensferry Street,1
Queensferry Street,Drumsheugh Place,1
Drumsheugh Place,Dean Bridge,1
Dean Bridge,Learmonth Terrace,1
Learmonth Terrace,Flora Stevenson School,1
Flora Stevenson School,Comely Bank Cemetery,1
Comely Bank Cemetery,Western General,1
Western General,West Woods,1
West Woods,North Werber Park,1
North Werber Park,Crewe Toll (south),1
Crewe Toll (south),Crewe Toll (north),1
Crewe Toll (north),Crewe Road Gardens,1
Crewe Road Gardens,Crewe Road West,1
Crewe Road West,Boswall Parkway,1
Boswall Parkway,Crewe Bank,1
Crewe Bank,Royston Mains Gardens,1
Royston Mains Gardens,Granton Primary,1
Granton Primary,Pilton Crescent,1
Pilton Crescent,Granton Gardens,1
Granton Gardens,Granton Terrace,1
Granton Terrace,Granton Crescent,1
Granton Crescent,Wardieburn Road,1
Wardieburn Road,Granton Park Avenue,1
Granton Park Avenue,Granton Square,1
Western Harbour Park,Windrush Drive,1
Windrush Drive,Sandpiper Road,1
Sandpiper Road,Annfield,1
Annfield,Hawthornvale,1
Hawthornvale,North Leith Sands,1
North Leith Sands,Prince Regent Street,1
Prince Regent Street,Mill Lane,1
Mill Lane,Cables Wynd,1
Cables Wynd,Kirkgate Centre,1
Kirkgate Centre,Foot of the Walk,1
Foot of the Walk,Stead's Place,1
Stead's Place,Balfour Street,1
Balfour Street,Pilrig Street,1
Pilrig Street,Shrubhill,1
Shrubhill,Elm Row,1
Elm Row,York Place,1
York Place,North St David Street,1
North St David Street,Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Princes Street (west),1
Princes Street (west),Lothian Road (foot),1
Lothian Road (foot),Usher Hall,1
Usher Hall,Fountainbridge,1
Fountainbridge,Home Street,1
Home Street,Lochrin Buildings,1
Lochrin Buildings,Leamington Terrace,1
Leamington Terrace,Viewforth,1
Viewforth,Merchiston Park,1
Merchiston Park,Polwarth Crescent,1
Polwarth Crescent,Polwarth Park,1
Polwarth Park,Polwarth Parish Church,1
Polwarth Parish Church,Ashley Terrace,1
Ashley Terrace,Polwarth Terrace_1,1
Polwarth Terrace_1,Meggetland Terrace,1
Meggetland Terrace,Perdrixknowe,1
Perdrixknowe,Craiglockhart Sports Centre,1
Craiglockhart Sports Centre,Glenlockhart Valley,1
Glenlockhart Valley,Craiglockhart Campus,1
Craiglockhart Campus,Craiglockhart Park,1
Craiglockhart Park,Craiglockhart Road,1
Craiglockhart Road,Elliot Road,1
Elliot Road,Redford Barracks,1
Redford Barracks,Merchiston Castle School,1
Merchiston Castle School,Rustic Cottages,1
Rustic Cottages,Barnshot Road,1
Barnshot Road,West Mill Road,1
West Mill Road,Fernielaw Avenue,1
Fernielaw Avenue,Woodfield Avenue,1
Woodfield Avenue,Torphin Bank,1
Torphin Bank,Torphin,1
Seafield Street,Seafield Cemetery,1
Seafield Cemetery,Seafield Place,1
Seafield Place,Claremont Park,1
Claremont Park,Links Gardens,1
Links Gardens,Salamander Place,1
Salamander Place,John's Place,1
John's Place,Laurie Street,1
Laurie Street,Foot of the Walk,1
Foot of the Walk,Stead's Place,1
Stead's Place,Balfour Street,1
Balfour Street,Pilrig Street,1
Pilrig Street,Shrubhill,1
Shrubhill,Elm Row,1
Elm Row,York Place,1
York Place,North St David Street,1
North St David Street,Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Princes Street (west),1
Princes Street (west),Shandwick Place,1
Shandwick Place,Atholl Crescent,1
Atholl Crescent,Haymarket Station,1
Haymarket Station,Magdala Crescent,1
Magdala Crescent,Wester Coates,1
Wester Coates,Kew Terrace,1
Kew Terrace,Roseburn Gardens,1
Roseburn Gardens,Murrayfield,1
Murrayfield,Murrayfield Road,1
Murrayfield Road,Western Corner,1
Western Corner,Balgreen Road_2,1
Balgreen Road_2,Pinkhill,1
Pinkhill,Edinburgh Zoo,1
Edinburgh Zoo,Silvan House,1
Silvan House,Belgrave Road,1
Belgrave Road,St John's Terrace,1
St John's Terrace,Kirk Loan,1
Kirk Loan,St Ninian's Road,1
St Ninian's Road,Drum Brae South,1
Drum Brae South,Meadowplace Road,1
Meadowplace Road,Gylemuir Road,1
Gylemuir Road,Broomhall Road,1
Broomhall Road,Broomhall Gardens,1
Broomhall Gardens,Forrester Park Avenue,1
Forrester Park Avenue,Broomhouse Roundabout,1
Broomhouse Roundabout,South Gyle Access,1
South Gyle Access,Bankhead Drive,1
Bankhead Drive,Forrester High School,1
Forrester High School,South Gyle Wynd,1
South Gyle Wynd,South Gyle Mains,1
South Gyle Mains,South Gyle Park,1
South Gyle Park,Redheughs Avenue,1
Redheughs Avenue,Lochside Place,1
Lochside Place,Lochside Crescent,1
Lochside Crescent,Gyle Centre,1
Mayfield Cook Crescent,Hill Place,1
Hill Place,The Kilns,1
The Kilns,Hughes Crescent,1
Hughes Crescent,Finlay Place,1
Finlay Place,Oak Crescent,1
Oak Crescent,Mayfield Roundabout,1
Mayfield Roundabout,Elm Place,1
Elm Place,Mayfield Place,1
Mayfield Place,Hawthorn Centre,1
Hawthorn Centre,Hawthorn Crescent,1
Hawthorn Crescent,Little Acre,1
Little Acre,Easthouses Way,1
Easthouses Way,Easthouses Road,1
Easthouses Road,Hepburn Drive,1
Hepburn Drive,Primrose Terrace,1
Primrose Terrace,Bruce Gardens,1
Bruce Gardens,James Lean Avenue,1
James Lean Avenue,South Street,1
South Street,Jarnac Court,1
Jarnac Court,King's Park,1
King's Park,Glenesk Crescent,1
Glenesk Crescent,Eskbank Toll,1
Eskbank Toll,Eskbank Court,1
Eskbank Court,Melville Castle,1
Melville Castle,Dobbies Garden Centre,1
Dobbies Garden Centre,Gilmerton Junction,1
Gilmerton Junction,Gilmerton Station Road,1
Gilmerton Station Road,Drum Cottages,1
Drum Cottages,Drum Street,1
Drum Street,Gilmerton Crossroads,1
Gilmerton Crossroads,Gilmerton Primary School,1
Gilmerton Primary School,Guardwell Glen,1
Guardwell Glen,Moredun Park Road,1
Moredun Park Road,Moredunvale Road,1
Moredunvale Road,Liberton High School,1
Liberton High School,Claverhouse Drive,1
Claverhouse Drive,Glenvarloch Crescent,1
Glenvarloch Crescent,Ivanhoe Crescent,1
Ivanhoe Crescent,Glenallan Drive,1
Glenallan Drive,Orrok Park,1
Orrok Park,Nether Liberton Lane,1
Nether Liberton Lane,Lady Road,1
Lady Road,Lygon Road,1
Lygon Road,Suffolk Road,1
Suffolk Road,East Savile Road,1
East Savile Road,Mayfield Gardens,1
Mayfield Gardens,Minto Street,1
Minto Street,Salisbury Place,1
Salisbury Place,Newington Road,1
Newington Road,Bernard Terrace,1
Bernard Terrace,St Patrick Square,1
St Patrick Square,Surgeons' Hall,1
Surgeons' Hall,South Bridge,1
South Bridge,North Bridge,1
North Bridge,Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Princes Street (west),1
Princes Street (west),Shandwick Place,1
Shandwick Place,Atholl Crescent,1
Atholl Crescent,Haymarket Station,1
Haymarket Station,Caledonian Village,1
Caledonian Village,Dalry Primary School,1
Dalry Primary School,Murieston Crescent,1
Murieston Crescent,Gorgie City Farm,1
Gorgie City Farm,Tynecastle,1
Tynecastle,Stewart Terrace,1
Stewart Terrace,Gorgie Park Road,1
Gorgie Park Road,Balgreen Road_1,1
Balgreen Road_1,Saughton Park,1
Saughton Park,Chesser Cottages,1
Chesser Cottages,Chesser Avenue,1
Chesser Avenue,St Aidan's Church,1
St Aidan's Church,Stenhouse Mill Lane,1
Stenhouse Mill Lane,HMP Edinburgh,1
HMP Edinburgh,Saughton Mains Avenue,1
Saughton Mains Avenue,Parkhead Terrace,1
Parkhead Terrace,Sighthill Post Office,1
Sighthill Post Office,Sighthill Gardens,1
Sighthill Gardens,"Napier University, Sighthill",1
"Napier University, Sighthill",Calder Drive,1
Calder Drive,Westside Plaza,1
Westside Plaza,Murrayburn Park,1
Murrayburn Park,Hailesland Place,1
Hailesland Place,Wester Hailes Park,1
Wester Hailes Park,Clovenstone Road,1
Clovenstone Road,Clovenstone Drive,1
Links Gardens,Summerfield Place,1
Summerfield Place,Somerset Place,1
Somerset Place,Academy Park,1
Academy Park,St Clair Avenue,1
St Clair Avenue,Dalmeny Street,1
Dalmeny Street,Brunswick Road,1
Brunswick Road,Montgomery Street,1
Montgomery Street,Brunton Place,1
Brunton Place,Wellington Street,1
Wellington Street,Brunswick Street,1
Brunswick Street,Leopold Place,1
Leopold Place,Leith Street,1
Leith Street,Waverley Steps,1
Waverley Steps,Princes Street (Scott Mon.),1
Princes Street (Scott Mon.),Princes Street (west),1
Princes Street (west),Lothian Road (foot),1
Lothian Road (foot),Usher Hall,1
Usher Hall,Port Hamilton,1
Port Hamilton,Gilmore Park,1
Gilmore Park,Fountain Park,1
Fountain Park,Dundee Terrace,1
Dundee Terrace,Henderson Terrace,1
Henderson Terrace,Gorgie City Farm,1
Gorgie City Farm,Tynecastle,1
Tynecastle,Stewart Terrace,1
Stewart Terrace,Westfield Road,1
Westfield Road,Westfield Avenue,1
Westfield Avenue,Stevenson Grove,1
Stevenson Grove,Balgreen Primary School,1
Balgreen Primary School,Whitson Crescent,1
Whitson Crescent,Whitson Grove,1
Whitson Grove,Stenhouse Cross,1
Stenhouse Cross,Stenhouse Grove,1
Stenhouse Grove,Saughton Mains Street,1
Saughton Mains Street,Saughton Road North,1
Saughton Road North,Saughton Tram stop,1
Saughton Tram stop,Broomhall Avenue,1
Broomhall Avenue,Broomfield Crescent,1
Broomfield Crescent,Castle Avenue,1
Castle Avenue,Orchardfield Avenue,1
Orchardfield Avenue,Featherhall Avenue,1
Featherhall Avenue,Dunsmuir Court,1
Dunsmuir Court,Meadowplace Road,1
Meadowplace Road,Templeland Road,1
Templeland Road,Pearce Road,1
Pearce Road,Drum Brae Gardens,1
Drum Brae Gardens,Drum Brae Avenue,1
Drum Brae Avenue,Duart Crescent,1
Duart Crescent,Drum Brae North_1,1
Drum Brae North_1,Drum Brae Drive,1
Drum Brae Drive,Hoseason Gardens,1
Hoseason Gardens,Drum Brae Hub,1
Drum Brae Hub,Clermiston View,1
Clermiston View,Clermiston Crescent,1
